cpu_usage,ram_usage,disk_usage,running_processes,network_sent,network_recv,gpu_usage,temperature,state
3.1,93.0,85.2,267,12180350,194148597,80.97042485790291,68.2407025121928,high_load
3.6,94.2,85.2,267,12185939,194205765,73.6886149222196,77.45664323608963,high_load
55.8,94.2,85.2,267,12186186,194206408,86.49659112831056,77.40182271442714,high_load
70.7,94.4,85.2,267,12186705,194206951,8.980936744276724,40.09303040923588,high_load
60.0,94.3,85.2,267,12186868,194207059,2.275187222964481,38.28926510088337,high_load
58.8,94.2,85.2,267,12186868,194207059,51.1608878038841,41.2272896787663,high_load
55.4,94.1,85.2,267,12187017,194207262,82.73573252676847,67.2690565710049,high_load
68.0,94.5,85.2,267,12194165,194217142,60.47294060651153,34.970728155891415,high_load
57.9,94.6,85.2,267,12194369,194217272,71.39708020963553,48.678848349719104,high_load
54.1,94.5,85.2,266,12195463,194217768,81.3727652224292,44.22244867380278,high_load
64.3,95.5,85.2,270,12207088,194244960,60.51158856784898,42.8531900763022,high_load
57.6,93.8,85.2,269,12207163,194245046,7.048543923003425,51.323039671835645,high_load
66.7,94.0,85.2,269,12207466,194245347,39.57363421220192,37.15793579803483,high_load
56.7,91.8,85.2,269,12207681,194245618,86.55200932450265,31.69199637110457,high_load
65.0,93.0,85.2,269,12207681,194245760,55.25409699655004,69.42133037386233,high_load
70.0,93.4,85.2,270,12209729,194252993,58.427050998533645,73.10583900815737,high_load
47.6,93.3,85.2,269,12209836,194253154,31.374668091420176,41.35779247067142,high_load
46.2,93.8,85.2,269,12209967,194253240,89.89697259560427,79.7415030402133,high_load
56.3,93.7,85.2,269,12210130,194253350,97.78217470131159,60.25341978759246,high_load
55.6,93.7,85.2,269,12210184,194253458,40.93675738668926,59.52905319450741,high_load
46.0,93.9,85.2,269,12210582,194253912,97.82408067587298,39.241731370890655,high_load
56.6,93.9,85.2,269,12210582,194253912,84.19491809643431,31.45083853516445,high_load
44.1,94.3,85.2,269,12210885,194254367,91.21849938619152,40.91171310724914,high_load
70.2,91.6,85.2,269,12211165,194254844,67.02684573896191,62.24817737736292,high_load
56.9,88.2,85.2,269,12211304,194254844,37.639873029641045,68.91457521990964,high_load
44.3,88.4,85.2,269,12213356,194260922,26.293101208384286,37.809964337524946,high_load
56.2,88.4,85.2,269,12215454,194301364,87.73879448089814,61.590297445408076,high_load
40.9,88.6,85.2,269,12222970,194306821,38.845818438786495,40.965729764894874,high_load
50.8,88.7,85.2,269,12223060,194306875,64.17138220262596,70.8805566785287,high_load
49.6,88.9,85.2,269,12223307,194307153,84.41216890696587,44.50181395078367,high_load
40.7,89.1,85.2,268,12223361,194307261,45.86801328886795,76.88187672077689,high_load
59.2,89.5,85.2,268,12223552,194307509,41.190352546873086,76.60708385072127,high_load
49.5,90.0,85.2,268,12224298,194308333,29.048378311123003,57.94777552649487,high_load
68.0,91.9,85.2,268,12235545,194336409,90.50971406147357,44.51607637202472,high_load
54.5,91.1,85.2,268,12238533,194357714,83.68863297168012,47.512785523499275,high_load
48.3,91.5,85.2,268,12238815,194358120,57.96918597855023,46.38604412684095,high_load
52.0,91.8,85.2,268,12238922,194358501,64.65728626105277,30.95318866625755,high_load
49.1,91.8,85.2,268,12239044,194358777,68.3677664294695,39.39758032536656,high_load
41.1,92.1,85.2,268,12239044,194358777,25.646215646345727,43.50995152250998,high_load
46.1,92.4,85.2,268,12239183,194358970,45.94694627273511,31.38916046922744,high_load
46.2,92.3,85.2,266,12239183,194358970,63.908214657129555,36.57177291783419,high_load
45.4,92.3,85.2,266,12239249,194358970,40.07659475592261,46.44375228284966,high_load
50.7,92.4,85.2,266,12239552,194359327,61.175222072298126,57.67080029747321,high_load
47.1,92.5,85.2,266,12239659,194359488,31.322033200094058,79.08621656096538,high_load
56.5,92.6,85.2,266,12241122,194365425,14.8865295743147,51.706617285131514,high_load
58.4,92.8,85.2,266,12241122,194365865,76.82217223444002,40.30157995294739,high_load
58.8,92.9,85.2,266,12241361,194366122,96.27910720007071,41.8982615684667,high_load
51.7,92.9,85.2,266,12241417,194366398,31.988418444650023,35.11765884160801,high_load
50.0,92.9,85.2,266,12241472,194366452,59.066050462492804,61.58323371660289,high_load
50.6,93.0,85.2,266,12241611,194366645,7.165790260978255,45.58737608879175,high_load
